game,achievement,description,achieved,unlocktime
Counter-Strike: Source,ES C90 Expert,"Kill 1,000 enemy players with the ES C90",False,null
Counter-Strike: Source,KM Sub-Machine Gun Expert,"Kill 1,000 enemy players with the KM Sub-Machine Gun",False,null
Counter-Strike: Source,Schmidt Machine Pistol Expert,Kill 500 enemy players with the Schmidt Machine Pistol,False,null
Counter-Strike: Source,Ingram Mac-10 Expert,Kill 500 enemy players with the Ingram Mac-10,False,null
Counter-Strike: Source,KM UMP45 Expert,"Kill 1,000 enemy players with the KM UMP45",False,null
Counter-Strike: Source,Sub-Machine Gun Master,Unlock all 5 sub-machine gun kill achievements,False,null
Counter-Strike: Source,Leone 12 Gauge Super Expert,Kill 200 enemy players with the Leone 12 Gauge Super,False,null
Counter-Strike: Source,Leone YG1265 Auto Shotgun Expert,Kill 200 enemy players with the Leone YG1265 Auto Shotgun,False,null
Counter-Strike: Source,Shotgun Master,Unlock both shotgun kill achievements,False,null
Counter-Strike: Source,HE Grenade Expert,Kill 500 enemy players with the HE grenade,False,null
Counter-Strike: Source,Knife Expert,Kill 100 enemy players with the knife,False,null
Counter-Strike: Source,M249 Expert,Kill 500 enemy players with the M249,False,null
Counter-Strike: Source,Master At Arms,Unlock every weapon kill achievement,False,null
Counter-Strike: Source,The Cleaner,Kill the entire enemy team (with at least 5 players) in a single round,False,null
Counter-Strike: Source,Variety Hour,Get kills with 5 different guns in a round,False,null
Counter-Strike: Source,Dead Shepherd,Kill an enemy player who is leading the hostages without injuring any hostages,False,null
Counter-Strike: Source,War of Attrition,Be the last player alive in a round (with at least 5 players on your team),False,null
Counter-Strike: Source,Magic Bullet,Kill an enemy with the last bullet in your magazine (excluding sniper rifles),False,null
Counter-Strike: Source,"Kill One, Get One Spree",Kill an enemy player who is on a killing spree,False,null
Counter-Strike: Source,A World of Pane,Shoot out 14 windows in a single round on cs_office,False,null
Counter-Strike: Source,Battle Sight Zero,Kill 250 enemy players with headshots,False,null
Counter-Strike: Source,Primer,Do at least 95% damage to an enemy who is then killed by a another player,False,null
Counter-Strike: Source,Finishing Schooled,Kill an enemy player who has been reduced to less than 5% health by other players,False,null
Counter-Strike: Source,Shot With Their Pants Down,Kill an enemy player while they are reloading,False,null
Counter-Strike: Source,Blind Ambition,Kill a total of 25 enemy players blinded by flashbangs,False,null
